"assmt_code","site_code","property","date","raca_adult","raca_juvenile","radr_adult","radr_juvenile","raxx_adult_or_juvenile","bubo_adult","bubo_juvenile","psre_adult","psre_juvenile","taxx_adult","taxx_juvenile","site_notes","egg_masses","personel","personel_count","ves_count","ves_start","ves_end","ves_time_mins","ves_person_mins","wet_m","pond_peri_steps","pond_peri_personel","pond_area","canopy","open_water","depth","trophic_state","veg_shoreline","trees_within_25m","cattle","secchi_1","secchi_2","secchi_3","temp","ph","conductivity","total_dissolved_solids","salinity","water_qual_date_time","dry"
"BARN_20210622","BARN","Blue Oak Ranch Reserve",2021-06-22,0,0,0,0,0,0,0,0,8,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","14:20","14:50",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND002_20210624","BNPND002","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totaly dry",NA,"Tatum, Caitlin, Sarah",3,"3","12:32","13:02",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND003_20210624","BNPND003","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totally dry. fence gone. 4 dead dry newts",NA,"Tatum, Caitlin, Sarah",3,"3","13:00","13:30",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND024_20210624","BNPND024","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,1,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","16:28","16:58",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN016_20210624","CA-BN016","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","15:53","16:23",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND008_20210623","GDPND008","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,0,0,"0","totally dry. family of adult and baby turkeys",NA,"Tatum, Caitlin, Sarah",3,"3","15:46","16:16",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NORTH_20210622","NORTH","Blue Oak Ranch Reserve",2021-06-22,0,0,0,0,0,0,0,0,0,0,"0","totally dry, no amphibs",NA,"Tatum, Caitlin, Sarah",3,"3","15:59","16:29",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND002_20210625","PRPND002","Pleasanton Ridge Regional Park",2021-06-25,0,0,0,0,0,0,0,1,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","18:02","18:32",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND004_20210623","GDPND004","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,0,0,"0","no pond but the usual tiny spring which looks grosser than ever. coyote, scleoporous, alligator lizard",NA,"Tatum, Caitlin, Sarah",3,"2","14:28","14:58",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,26.1,6.22,"2860","2030","1.7",NA,1
"PRPND009_20210625","PRPND009","Pleasanton Ridge Regional Park",2021-06-25,1,0,0,0,1,0,0,7,0,0,"10","almost dry, just lots of plants and mud. scleoporous",NA,"Tatum, Caitlin, Sarah",3,"3","12:36","13:06",30,90,1.5,"66","TSK",NA,"0","5",NA,"2","20",7,0,NA,NA,NA,28.9,8.96,"1728","1240","0.87",NA,0
"GRAMPS_20210621","GRAMPS","Blue Oak Ranch Reserve",2021-06-21,1,25,0,0,26,1,0,0,30,0,"0","water snake, 3 AMCA larvae",NA,"Tatum, Caitlin, Sarah",3,"3","22:06","22:36",30,90,1.5,"121","SRB",NA,"0","85",NA,"1","100",2,0,54.6,60.2,NA,19.6,8.4,"1659","1260","0.89",NA,0
