"day","sample_ID","adh","replicate","TB","PW","day_numeric","log_adh"
"Day_1","1%TB+AEbiofilm",21582,1,"y","n",1,9.97961491292368
"Day_3","1%TB+AEbiofilm",1621,1,"y","n",3,7.39079852173568
"Day_5","1%TB+AEbiofilm",3046,1,"y","n",5,8.02158453345511
"Day_7","1%TB+AEbiofilm",5033,1,"y","n",7,8.52377150677636
"Day_1","MQ+AEbiofilm",975754,1,"n","n",1,13.7909657844452
"Day_3","MQ+AEbiofilm",265560,1,"n","n",3,12.4895960828331
"Day_5","MQ+AEbiofilm",52444,1,"n","n",5,10.8675012126193
"Day_7","MQ+AEbiofilm",27647,1,"n","n",7,10.2272725019682
"Day_1","PW+AEBiofilm",340626,1,"n","y",1,12.7385403801752
"Day_3","PW+AEBiofilm",170563,1,"n","y",3,12.0468600089231
"Day_5","PW+AEBiofilm",62044,1,"n","y",5,11.0355990897446
"Day_7","PW+AEBiofilm",13223,1,"n","y",7,9.48971301655682
"Day_1","1%TB+AEbiofilm",39338,2,"y","n",1,10.5799462518098
"Day_3","1%TB+AEbiofilm",6711,2,"y","n",3,8.81150325015824
"Day_5","1%TB+AEbiofilm",4439,2,"y","n",5,8.39818440483404
"Day_7","1%TB+AEbiofilm",5694,2,"y","n",7,8.64716826783798
"Day_1","MQ+AEbiofilm",581868,2,"n","n",1,13.2739988968659
"Day_3","MQ+AEbiofilm",184822,2,"n","n",3,12.1271484787232
"Day_5","MQ+AEbiofilm",41478,2,"n","n",5,10.6329184451733
"Day_7","MQ+AEbiofilm",28036,2,"n","n",7,10.2412446776202
"Day_1","PW+AEBiofilm",298707,2,"n","y",1,12.6072184388141
"Day_3","PW+AEBiofilm",235947,2,"n","y",3,12.3713624825155
"Day_5","PW+AEBiofilm",46739,2,"n","y",5,10.7523342129132
"Day_7","PW+AEBiofilm",11491,2,"n","y",7,9.34931939925763
"Day_1","1%TB+AEbiofilm",39781,3,"y","n",1,10.5911446903524
"Day_3","1%TB+AEbiofilm",6725,3,"y","n",3,8.81358720447004
"Day_5","1%TB+AEbiofilm",4702,3,"y","n",5,8.45574322910002
"Day_7","1%TB+AEbiofilm",2973,3,"y","n",7,7.9973268229981
"Day_1","MQ+AEbiofilm",646021,3,"n","n",1,13.3785872899763
"Day_3","MQ+AEbiofilm",267466,3,"n","n",3,12.4967477344362
"Day_5","MQ+AEbiofilm",99689,3,"n","n",5,11.50981061887
"Day_7","MQ+AEbiofilm",31655,3,"n","n",7,10.3626513929782
"Day_1","PW+AEBiofilm",325321,3,"n","y",1,12.6925676661725
"Day_3","PW+AEBiofilm",341432,3,"n","y",3,12.740903816643
"Day_5","PW+AEBiofilm",48210,3,"n","y",5,10.7833217473997
"Day_7","PW+AEBiofilm",14076,3,"n","y",7,9.55222649844148
