day,site,filter,bd_qty,bd_location
1,BARN,40um_filter,9.78E+04,adherent
1,PRPND002,40um_filter,2.50E+04,adherent
1,GDPND009,40um_filter,6.62E+04,adherent
1,GDPND008,40um_filter,1.32E+05,adherent
1,PRPND004,40um_filter,1.07E+05,adherent
1,GDPND004,40um_filter,9.17E+04,adherent
1,CABIN,40um_filter,6.32E+04,adherent
1,NORTH,40um_filter,1.13E+05,adherent
1,WEST,40um_filter,7.98E+04,adherent
1,PRPND009,40um_filter,8.49E+04,adherent
1,GDPND006,40um_filter,1.09E+05,adherent
1,PRPND003,40um_filter,8.26E+04,adherent
1,GDPND005,40um_filter,1.04E+05,adherent
1,GRAMPS,40um_filter,7.18E+04,adherent
1,PRPND010,40um_filter,7.85E+04,adherent
1,sterile MQ,40um_filter,9.64E+04,adherent
7,BARN,40um_filter,1.18E+03,adherent
7,PRPND002,40um_filter,5.99E+02,adherent
7,GDPND009,40um_filter,2.00E+02,adherent
7,GDPND008,40um_filter,2.33E+02,adherent
7,PRPND004,40um_filter,2.82E+03,adherent
7,GDPND004,40um_filter,4.25E+02,adherent
7,CABIN,40um_filter,3.36E+03,adherent
7,NORTH,40um_filter,6.69E+02,adherent
7,WEST,40um_filter,4.47E+03,adherent
7,PRPND009,40um_filter,4.11E+03,adherent
7,GDPND006,40um_filter,5.06E+02,adherent
7,PRPND003,40um_filter,3.31E+03,adherent
7,GDPND005,40um_filter,8.32E+02,adherent
7,GRAMPS,40um_filter,3.49E+03,adherent
7,PRPND010,40um_filter,2.47E+03,adherent
7,sterile MQ,40um_filter,5.59E+04,adherent
1,BARN,40um_filter,3.77E+02,floating
1,PRPND002,40um_filter,7.70E+02,floating
1,GDPND009,40um_filter,7.68E+03,floating
1,GDPND008,40um_filter,4.48E+04,floating
1,PRPND004,40um_filter,5.22E+04,floating
1,GDPND004,40um_filter,7.84E+03,floating
1,CABIN,40um_filter,2.93E+03,floating
1,NORTH,40um_filter,0.00E+00,floating
1,WEST,40um_filter,5.10E+03,floating
1,PRPND009,40um_filter,1.08E+04,floating
1,GDPND006,40um_filter,6.44E+03,floating
1,PRPND003,40um_filter,8.94E+04,floating
1,GDPND005,40um_filter,3.05E+03,floating
