sample ID,sup #1 ,adh #1,Adh+Sup#1
TB+PW+microbes-D1,359,1161436,1161795
TB+PW+microbes-D3,517,79029,79546
TB+PW+microbes-D5,1094,18528,19622
TB+PW+microbes-D7,2547,35716,38263
PW+microbes-D1,392137,4492834,4884971
PW+microbes-D3,4478,503687,508165
PW+microbes-D5,3427,30037,33464
PW+microbes-D7,4509,85928,90437
TB+PW-microbes-D1,944749,2267632,3212381
TB+PW-microbes-D3,1079810,3958752,5038562
TB+PW-microbes-D5,1270715,1212529,2483244
TB+PW-microbes-D7,16007,522718,538725
PW-microbes-D1,67502,3039110,3106612
PW-microbes-D3,1116,973256,974372
PW-microbes-D5,4041,557950,561991
PW-microbes-D7,23866,50171,74037
,,,
sample ID,sup #2,adh #2,Adh+Sup#2
TB+PW+microbes-D1,821,1449576,1450397
TB+PW+microbes-D3,1001,141911,142912
TB+PW+microbes-D5,955,19660,20615
TB+PW+microbes-D7,1573,17216,18789
PW+microbes-D1,388634,5356689,5745323
PW+microbes-D3,16908,1151662,1168570
PW+microbes-D5,5120,212767,217887
PW+microbes-D7,8451,126022,134473
TB+PW-microbes-D1,1054156,4335021,5389177
TB+PW-microbes-D3,727313,6435121,7162434
TB+PW-microbes-D5,1850257,4573129,6423386
TB+PW-microbes-D7,286698,2171908,2458606
PW-microbes-D1,65190,4333609,4398800
PW-microbes-D3,1478,1406568,1408046
PW-microbes-D5,11477,518039,529516
PW-microbes-D7,19087,31507,50594
,,,
sample ID,sup #3,adh #3,Adh+Sup#3
TB+PW+microbes-D1,308,1729292,1729600
TB+PW+microbes-D3,427,62082,62509
TB+PW+microbes-D5,1234,22909,24143
TB+PW+microbes-D7,1370,26627,27997
PW+microbes-D1,338601,3212182,3550783
PW+microbes-D3,16963,504512,521475
PW+microbes-D5,3496,74543,78039
PW+microbes-D7,4872,72056,76928
TB+PW-microbes-D1,512985,9428398,9941383
TB+PW-microbes-D3,3814886,11322990,15137876
TB+PW-microbes-D5,333569,115737,449306
TB+PW-microbes-D7,855,64050,64905
PW-microbes-D1,36057,1898856,1934913
PW-microbes-D3,17964,5700765,5718729
PW-microbes-D5,29114,360262,389376
PW-microbes-D7,24051,183807,207858
