day,sample_ID,adh,sup,adh_plus_sup,replicate
1,1%TB,1203296,131232,1334529,1
3,1%TB,13820819,614229,14435048,1
5,1%TB,1241691,47489,1289180,1
7,1%TB,374678,40374,415051,1
1,MQ,55715,1119310,1175025,1
3,MQ,97420,989171,1086591,1
5,MQ,50775,330455,381229,1
7,MQ,37740,181836,219575,1
1,1%TB+PW+microorganism,64747,395171,459917,1
3,1%TB+PW+microorganism,4222,40438,44660,1
5,1%TB+PW+microorganism,610,45721,46331,1
7,1%TB+PW+microorganism,1166,6039,7205,1
1,PW+microorganism,63742,21,63763,1
3,PW+microorganism,16020,153,16174,1
5,PW+microorganism,15313,783,16096,1
7,PW+microorganism,12081,512,12593,1
1,1%TB+PW-microorganism,26238,7160,33398,1
3,1%TB+PW-microorganism,15461355,297759,15759114,1
5,1%TB+PW-microorganism,4249727,1045302,5295029,1
7,1%TB+PW-microorganism,3123961,414911,3538872,1
1,PW-microorganism,54675,1190768,1245443,1
3,PW-microorganism,23556,1243595,1267151,1
5,PW-microorganism,97216,658323,755539,1
7,PW-microorganism,34470,251379,285849,1
0,Added Bd,405194,,405194,1
1,1%TB,208438,131232,339670,2
3,1%TB,12452545,614229,13066774,2
5,1%TB,1710701,47489,1758190,2
7,1%TB,328523,40374,368897,2
1,MQ,51867,1119310,1171177,2
3,MQ,128991,989171,1118162,2
5,MQ,32239,330455,362694,2
7,MQ,36665,181836,218501,2
1,1%TB+PW+microorganism,69237,395171,464407,2
3,1%TB+PW+microorganism,17030,40438,57468,2
5,1%TB+PW+microorganism,914,45721,46635,2
7,1%TB+PW+microorganism,761,6039,6800,2
1,PW+microorganism,115428,21,115448,2
3,PW+microorganism,17125,153,17279,2
5,PW+microorganism,10937,783,11720,2
7,PW+microorganism,2919,512,3431,2
1,1%TB+PW-microorganism,258811,7160,265971,2
3,1%TB+PW-microorganism,20758761,297759,21056520,2
5,1%TB+PW-microorganism,2817437,1045302,3862739,2
7,1%TB+PW-microorganism,417917,414911,832829,2
1,PW-microorganism,19062,1190768,1209830,2
3,PW-microorganism,50367,1243595,1293963,2
5,PW-microorganism,81931,658323,740255,2
7,PW-microorganism,22440,205975,228415,2
0,Added Bd,365317,,365317,2
1,1%TB,599345,92698,692043,3
3,1%TB,13236028,269604,13505632,3
5,1%TB,1037555,45837,1083392,3
7,1%TB,406550,24700,431250,3
1,MQ,52755,643894,696649,3
3,MQ,78687,1077980,1156667,3
5,MQ,47918,342203,390121,3
7,MQ,28587,197452,226038,3
1,1%TB+PW+microorganism,88247,409653,497901,3
3,1%TB+PW+microorganism,9517,35543,45059,3
5,1%TB+PW+microorganism,1167,12185,13351,3
7,1%TB+PW+microorganism,1481,1087,2568,3
1,PW+microorganism,8432,10,8441,3
3,PW+microorganism,8370,483,8852,3
5,PW+microorganism,8458,156,8615,3
7,PW+microorganism,6079,233,6312,3
1,1%TB+PW-microorganism,190323,23119,213442,3
3,1%TB+PW-microorganism,16225944,364102,16590046,3
5,1%TB+PW-microorganism,5265643,1196671,6462313,3
7,1%TB+PW-microorganism,3295234,634350,3929585,3
1,PW-microorganism,96892,1199922,1296814,3
3,PW-microorganism,100570,1047328,1147898,3
5,PW-microorganism,61803,670065,731868,3
7,PW-microorganism,22352,206681,229033,3
0,Added Bd,460466,,460466,3
