day,Adherent sample ID,adh,replicate
1,1%TB+AEbiofilm,21582,1
3,1%TB+AEbiofilm,1621,1
5,1%TB+AEbiofilm,3046,1
7,1%TB+AEbiofilm,5033,1
1,MQ+AEbiofilm,975754,1
3,MQ+AEbiofilm,265560,1
5,MQ+AEbiofilm,52444,1
7,MQ+AEbiofilm,27647,1
1,PW+AEBiofilm,340626,1
3,PW+AEBiofilm,170563,1
5,PW+AEBiofilm,62044,1
7,PW+AEBiofilm,13223,1
0,Added Bd,2149462,1
1,1%TB+AEbiofilm,39338,2
3,1%TB+AEbiofilm,6711,2
5,1%TB+AEbiofilm,4439,2
7,1%TB+AEbiofilm,5694,2
1,MQ+AEbiofilm,581868,2
3,MQ+AEbiofilm,184822,2
5,MQ+AEbiofilm,41478,2
7,MQ+AEbiofilm,28036,2
1,PW+AEBiofilm,298707,2
3,PW+AEBiofilm,235947,2
5,PW+AEBiofilm,46739,2
7,PW+AEBiofilm,11491,2
0,Added Bd,1045889,2
1,1%TB+AEbiofilm,39781,3
3,1%TB+AEbiofilm,6725,3
5,1%TB+AEbiofilm,4702,3
7,1%TB+AEbiofilm,2973,3
1,MQ+AEbiofilm,646021,3
3,MQ+AEbiofilm,267466,3
5,MQ+AEbiofilm,99689,3
7,MQ+AEbiofilm,31655,3
1,PW+AEBiofilm,325321,3
3,PW+AEBiofilm,341432,3
5,PW+AEBiofilm,48210,3
7,PW+AEBiofilm,14076,3
0,Added Bd,2115089,3
