sample ID,sup,adh,ahd_plus_sup,replicate,day
TB+PW+microbes-D1,359,1161436,1161795,1,1
TB+PW+microbes-D3,517,79029,79546,1,3
TB+PW+microbes-D5,1094,18528,19622,1,5
TB+PW+microbes-D7,2547,35716,38263,1,7
PW+microbes-D1,392137,4492834,4884971,1,1
PW+microbes-D3,4478,503687,508165,1,3
PW+microbes-D5,3427,30037,33464,1,5
PW+microbes-D7,4509,85928,90437,1,7
TB+PW-microbes-D1,944749,2267632,3212381,1,1
TB+PW-microbes-D3,1079810,3958752,5038562,1,3
TB+PW-microbes-D5,1270715,1212529,2483244,1,5
TB+PW-microbes-D7,16007,522718,538725,1,7
PW-microbes-D1,67502,3039110,3106612,1,1
PW-microbes-D3,1116,973256,974372,1,3
PW-microbes-D5,4041,557950,561991,1,5
PW-microbes-D7,23866,50171,74037,1,7
TB+PW+microbes-D1,821,1449576,1450397,2,1
TB+PW+microbes-D3,1001,141911,142912,2,3
TB+PW+microbes-D5,955,19660,20615,2,5
TB+PW+microbes-D7,1573,17216,18789,2,7
PW+microbes-D1,388634,5356689,5745323,2,1
PW+microbes-D3,16908,1151662,1168570,2,3
PW+microbes-D5,5120,212767,217887,2,5
PW+microbes-D7,8451,126022,134473,2,7
TB+PW-microbes-D1,1054156,4335021,5389177,2,1
TB+PW-microbes-D3,727313,6435121,7162434,2,3
TB+PW-microbes-D5,1850257,4573129,6423386,2,5
TB+PW-microbes-D7,286698,2171908,2458606,2,7
PW-microbes-D1,65190,4333609,4398800,2,1
PW-microbes-D3,1478,1406568,1408046,2,3
PW-microbes-D5,11477,518039,529516,2,5
PW-microbes-D7,19087,31507,50594,2,7
TB+PW+microbes-D1,308,1729292,1729600,3,1
TB+PW+microbes-D3,427,62082,62509,3,3
TB+PW+microbes-D5,1234,22909,24143,3,5
TB+PW+microbes-D7,1370,26627,27997,3,7
PW+microbes-D1,338601,3212182,3550783,3,1
PW+microbes-D3,16963,504512,521475,3,3
PW+microbes-D5,3496,74543,78039,3,5
PW+microbes-D7,4872,72056,76928,3,7
TB+PW-microbes-D1,512985,9428398,9941383,3,1
TB+PW-microbes-D3,3814886,11322990,15137876,3,3
TB+PW-microbes-D5,333569,115737,449306,3,5
TB+PW-microbes-D7,855,64050,64905,3,7
PW-microbes-D1,36057,1898856,1934913,3,1
PW-microbes-D3,17964,5700765,5718729,3,3
PW-microbes-D5,29114,360262,389376,3,5
PW-microbes-D7,24051,183807,207858,3,7
