"day","sample_ID","adh","sup","adh_plus_sup","replicate","microbes","water_treatment","TB","day_numeric","log_adh_plus_sup"
"Day_1","1%TB",1203296,131232,1334529,1,"n","sterile-water","y",1,14.104088978576
"Day_3","1%TB",13820819,614229,14435048,1,"n","sterile-water","y",3,16.4851696963248
"Day_5","1%TB",1241691,47489,1289180,1,"n","sterile-water","y",5,14.0695169153063
"Day_7","1%TB",374678,40374,415051,1,"n","sterile-water","y",7,12.9361566832285
"Day_1","MQ",55715,1119310,1175025,1,"n","sterile-water","n",1,13.9767999819298
"Day_3","MQ",97420,989171,1086591,1,"n","sterile-water","n",3,13.8985558303485
"Day_5","MQ",50775,330455,381229,1,"n","sterile-water","n",5,12.8511555234195
"Day_7","MQ",37740,181836,219575,1,"n","sterile-water","n",7,12.2994491387853
"Day_1","1%TB+PW+microorganism",64747,395171,459917,1,"y","PW+MO","y",1,13.0388013174024
"Day_3","1%TB+PW+microorganism",4222,40438,44660,1,"y","PW+MO","y",3,10.7068335253941
"Day_5","1%TB+PW+microorganism",610,45721,46331,1,"y","PW+MO","y",5,10.7435665624644
"Day_7","1%TB+PW+microorganism",1166,6039,7205,1,"y","PW+MO","y",7,8.88253050843362
"Day_1","PW+microorganism",63742,21,63763,1,"y","PW+MO","n",1,11.0629283638001
"Day_3","PW+microorganism",16020,153,16174,1,"y","PW+MO","n",3,9.69116029365577
"Day_5","PW+microorganism",15313,783,16096,1,"y","PW+MO","n",5,9.68632607289947
"Day_7","PW+microorganism",12081,512,12593,1,"y","PW+MO","n",7,9.44089638300585
"Day_1","1%TB+PW-microorganism",26238,7160,33398,1,"n","PW-MO","y",1,10.4162512969324
"Day_3","1%TB+PW-microorganism",15461355,297759,15759114,1,"n","PW-MO","y",3,16.5729294225396
"Day_5","1%TB+PW-microorganism",4249727,1045302,5295029,1,"n","PW-MO","y",5,15.4822790138676
"Day_7","1%TB+PW-microorganism",3123961,414911,3538872,1,"n","PW-MO","y",7,15.0793185902644
"Day_1","PW-microorganism",54675,1190768,1245443,1,"n","PW-MO","n",1,14.035001847884
"Day_3","PW-microorganism",23556,1243595,1267151,1,"n","PW-MO","n",3,14.0522816313654
"Day_5","PW-microorganism",97216,658323,755539,1,"n","PW-MO","n",5,13.5351866808053
"Day_7","PW-microorganism",34470,251379,285849,1,"n","PW-MO","n",7,12.5632189783477
"Day_1","1%TB",208438,131232,339670,2,"n","sterile-water","y",1,12.7357298370313
"Day_3","1%TB",12452545,614229,13066774,2,"n","sterile-water","y",3,16.3855832303446
"Day_5","1%TB",1710701,47489,1758190,2,"n","sterile-water","y",5,14.379795428748
"Day_7","1%TB",328523,40374,368897,2,"n","sterile-water","y",7,12.8182727512665
"Day_1","MQ",51867,1119310,1171177,2,"n","sterile-water","n",1,13.9735197840182
"Day_3","MQ",128991,989171,1118162,2,"n","sterile-water","n",3,13.92719682381
"Day_5","MQ",32239,330455,362694,2,"n","sterile-water","n",5,12.801314782537
"Day_7","MQ",36665,181836,218501,2,"n","sterile-water","n",7,12.2945458701663
"Day_1","1%TB+PW+microorganism",69237,395171,464407,2,"y","PW+MO","y",1,13.048516601905
"Day_3","1%TB+PW+microorganism",17030,40438,57468,2,"y","PW+MO","y",3,10.9589835501306
"Day_5","1%TB+PW+microorganism",914,45721,46635,2,"y","PW+MO","y",5,10.750106611161
"Day_7","1%TB+PW+microorganism",761,6039,6800,2,"y","PW+MO","y",7,8.8246778911642
"Day_1","PW+microorganism",115428,21,115448,2,"y","PW+MO","n",1,11.6565754911159
"Day_3","PW+microorganism",17125,153,17279,2,"y","PW+MO","n",3,9.75724717031312
"Day_5","PW+microorganism",10937,783,11720,2,"y","PW+MO","n",5,9.369052063131
"Day_7","PW+microorganism",2919,512,3431,2,"y","PW+MO","n",7,8.14060704285845
"Day_1","1%TB+PW-microorganism",258811,7160,265971,2,"n","PW-MO","y",1,12.4911425592641
"Day_3","1%TB+PW-microorganism",20758761,297759,21056520,2,"n","PW-MO","y",3,16.8627208088509
"Day_5","1%TB+PW-microorganism",2817437,1045302,3862739,2,"n","PW-MO","y",5,15.1668870752965
"Day_7","1%TB+PW-microorganism",417917,414911,832829,2,"n","PW-MO","y",7,13.6325836179629
"Day_1","PW-microorganism",19062,1190768,1209830,2,"n","PW-MO","n",1,14.0059904118347
"Day_3","PW-microorganism",50367,1243595,1293963,2,"n","PW-MO","n",3,14.0732201601257
"Day_5","PW-microorganism",81931,658323,740255,2,"n","PW-MO","n",5,13.5147500004159
"Day_7","PW-microorganism",22440,205975,228415,2,"n","PW-MO","n",7,12.3389194288632
"Day_1","1%TB",599345,92698,692043,3,"n","sterile-water","y",1,13.4474033713976
"Day_3","1%TB",13236028,269604,13505632,3,"n","sterile-water","y",3,16.4186173415963
"Day_5","1%TB",1037555,45837,1083392,3,"n","sterile-water","y",5,13.8956074180177
"Day_7","1%TB",406550,24700,431250,3,"n","sterile-water","y",7,12.9744432473277
"Day_1","MQ",52755,643894,696649,3,"n","sterile-water","n",1,13.4540369760997
"Day_3","MQ",78687,1077980,1156667,3,"n","sterile-water","n",3,13.9610531514393
"Day_5","MQ",47918,342203,390121,3,"n","sterile-water","n",5,12.8742122263965
"Day_7","MQ",28587,197452,226038,3,"n","sterile-water","n",7,12.3284584057131
"Day_1","1%TB+PW+microorganism",88247,409653,497901,3,"y","PW+MO","y",1,13.1181565410637
