"sample_id","sampling_id","sample_type","code","property","date","amphibian_spp","amphibian_svl","amphibian_weight","amphibian_sex","amphibian_age","amphibian_notes","pcr_ct","pcr_qty","pcr_ipc_ct","pcr_inhibited","infected","zsp_eq","vernal"
"cln_452","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",30.3,2.25,"m","adult","",0,0,33.2891,0,0,0,0
"cln_453","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",29.7,3,"m","adult","",0,0,33.5281,0,0,0,0
"cln_454","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","RACA",NA,NA,"m","adult","too large to weigh/measure",0,0,33.1265,0,0,0,0
"cln_455","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","RACA",NA,NA,NA,"adult","too large to weigh/measure",32.006,1.73989,32.147,0,1,139.191,0
"cln_456","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",37.3,7.5,"f","adult","gravid female",0,0,33.3782,0,0,0,0
"cln_457","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",32.2,3,"m","adult","",0,0,32.5627,0,0,0,0
"cln_458","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",32,3.5,"m","adult","",29.1782,9.93085,30.1884,0,1,794.468,0
"cln_459","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",29.9,3.25,"f","adult","",0,0,33.0449,0,0,0,0
"cln_460","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","RACA",95.3,85,NA,"adult","",0,0,33.4733,0,0,0,0
"cln_461","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","RACA",43.1,11,NA,"juvenile","",33.3378,0.766017,33.0396,0,1,61.281,0
"cln_462","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","RACA",46.9,9,NA,"juvenile","",36.5624,0.105099,33.298,0,1,8.408,0
"cln_463","Mar_22","swab","CABIN","Blue Oak Ranch Reserve","3/24/22","PSRE",28.5,3,"m","adult","",0,0,32.7445,0,0,0,0
